symbol,model,best_thr,cal_start,cal_end,test_start,test_end,cal_CAGR,cal_Sharpe,test_CAGR,test_Sharpe
QQQ,ridge_tuned,-0.0004,2004-04-12,2021-05-26,2021-05-27,2025-09-11,0.0971721294113887,0.6151050719402444,0.08381585496767201,0.46157568836003704
QQQ,hgb_tuned,-0.0005,2004-04-12,2021-05-26,2021-05-27,2025-09-11,0.09788502298189458,0.6227580995868613,0.15187451927143203,0.8902377588914346
QQQ,logit_tuned,0.49,2004-04-12,2021-05-26,2021-05-27,2025-09-11,0.1499462014606791,0.7876855710269471,0.13287990271447547,0.6425406380581032
VFV.TO,ridge_tuned,-0.0005,2015-02-12,2023-07-31,2023-08-01,2025-09-11,0.09997699394210098,0.6186449426458391,0.10468696832871917,0.7862568932651265
VFV.TO,hgb_tuned,-5e-05,2015-02-12,2023-07-31,2023-08-01,2025-09-11,0.07397321352163004,0.494395498813315,0.13925993200242648,1.0193788613837413
VFV.TO,logit_tuned,0.48,2015-02-12,2023-07-31,2023-08-01,2025-09-11,0.1030351108395149,0.6424657041868098,0.22856021506146243,1.577572741303823
XEQT.TO,ridge_tuned,-0.0005,2020-10-02,2024-09-16,2024-09-17,2025-09-11,0.002706558032448884,0.027191585074435545,0.09271088806853327,0.763665035588304
XEQT.TO,hgb_tuned,-0.0002,2020-10-02,2024-09-16,2024-09-17,2025-09-11,0.08176430272198229,0.7299647438223974,0.14071258195502376,1.2098118602606267
XEQT.TO,logit_tuned,0.47,2020-10-02,2024-09-16,2024-09-17,2025-09-11,0.10044042899200958,0.9180056996574519,0.12370521204054168,0.8570824315965216
