date,y_reg,pos,costs,r_strategy,r_bh,eq_strat,eq_bh
2019-09-26,-0.004387649964335447,0.0,0.0,-0.0,-0.004387649964335447,1.0,0.995621961709078
2019-09-27,-0.00024270548779154496,0.0,0.0,-0.0,-0.00024270548779154496,1.0,0.9953803481168638
2019-09-30,-0.010556235153251096,0.0,0.0,-0.0,-0.010556235153251096,1.0,0.9849281441176756
2019-10-01,-0.012917741288949321,0.0,0.0,-0.0,-0.012917741288949321,1.0,0.9722869209730263
2019-10-02,0.0,0.0,0.0,0.0,0.0,1.0,0.9722869209730263
2019-10-03,0.0,0.0,0.0,0.0,0.0,1.0,0.9722869209730263
2019-10-04,0.01734803997990166,0.0,0.0,0.0,0.01734803997990166,1.0,0.9893013501367534
2019-10-07,-0.010369706809921204,0.0,0.0,-0.0,-0.010369706809921204,1.0,0.9790955920016238
2019-10-08,0.0,0.0,0.0,0.0,0.0,1.0,0.9790955920016238
2019-10-09,0.0,0.0,0.0,0.0,0.0,1.0,0.9790955920016238
2019-10-10,0.014785327515914173,0.0,0.0,0.0,0.014785327515914173,1.0,0.9936793884276754
2019-10-11,0.0,0.0,0.0,0.0,0.0,1.0,0.9936793884276754
2019-10-15,0.0,0.0,0.0,0.0,0.0,1.0,0.9936793884276754
2019-10-16,0.0,0.0,0.0,0.0,0.0,1.0,0.9936793884276754
2019-10-17,-0.0004912845730881573,0.0,0.0,-0.0,-0.0004912845730881573,1.0,0.9931913289714026
2019-10-18,0.0,0.0,0.0,0.0,0.0,1.0,0.9931913289714026
2019-10-21,0.0,0.0,0.0,0.0,0.0,1.0,0.9931913289714026
2019-10-22,0.0009774672706715788,0.0,0.0,0.0,0.0009774672706715788,1.0,0.9941626156121038
2019-10-23,0.0,0.0,0.0,0.0,0.0,1.0,0.9941626156121038
2019-10-24,0.005366309914793792,0.0,0.0,0.0,0.005366309914793792,1.0,0.9995119405437273
2019-10-25,0.0029158621239751387,0.0,0.0,0.0,0.0029158621239751387,1.0,1.0024306327376753
2019-10-28,0.0,0.0,0.0,0.0,0.0,1.0,1.0024306327376753
2019-10-29,0.0,0.0,0.0,0.0,0.0,1.0,1.0024306327376753
2019-10-30,0.003387925106608971,0.0,0.0,0.0,0.003387925106608971,1.0,1.0058325521160518
2019-10-31,0.005781982791258617,0.0,0.0,0.0,0.005781982791258617,1.0,1.0116651042321037
2019-11-01,0.010515034223034446,0.0,0.0,0.0,0.010515034223034446,1.0,1.0223589218235059
2019-11-04,0.0,0.0,0.0,0.0,0.0,1.0,1.0223589218235059
2019-11-05,0.004743680855839312,0.0,0.0,0.0,0.004743680855839312,1.0,1.0272201872988564
2019-11-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0272201872988564
2019-11-07,0.0,0.0,0.0,0.0,0.0,1.0,1.0272201872988564
2019-11-08,0.0,0.0,0.0,0.0,0.0,1.0,1.0272201872988564
2019-11-11,0.0033109891585422716,0.0,0.0,0.0,0.0033109891585422716,1.0,1.0306269389490772
2019-11-12,0.0,0.0,0.0,0.0,0.0,1.0,1.0306269389490772
2019-11-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0306269389490772
2019-11-14,0.0,0.0,0.0,0.0,0.0,1.0,1.0306269389490772
2019-11-15,0.006579954950079043,0.0,0.0,0.0,0.006579954950079043,1.0,1.0374307777058305
2019-11-18,0.00047033951462772207,0.0,0.0,0.0,0.00047033951462772207,1.0,1.037918837162103
2019-11-19,0.0037408584389504937,0.0,0.0,0.0,0.0037408584389504937,1.0,1.0418088159967522
2019-11-20,-0.0023358149399149296,0.0,0.0,-0.0,-0.0023358149399149296,1.0,1.039378183259077
2019-11-21,0.0,0.0,0.0,0.0,0.0,1.0,1.039378183259077
2019-11-22,0.0,0.0,0.0,0.0,0.0,1.0,1.039378183259077
2019-11-25,0.0046661865605137675,0.0,0.0,0.0,0.0046661865605137675,1.0,1.0442394487344275
2019-11-26,0.0,0.0,0.0,0.0,0.0,1.0,1.0442394487344275
2019-11-27,0.0,0.0,0.0,0.0,0.0,1.0,1.0442394487344275
2019-11-28,0.0,0.0,0.0,0.0,0.0,1.0,1.0442394487344275
2019-11-29,0.00417918913319405,0.0,0.0,0.0,0.00417918913319405,1.0,1.0486126547535055
2019-12-02,-0.01589041826907289,0.0,0.0,-0.0,-0.01589041826907289,1.0,1.032081452774207
2019-12-03,0.0037619767383680167,0.0,0.0,0.0,0.0037619767383680167,1.0,1.0359714316088562
2019-12-04,-0.004703514793828656,0.0,0.0,-0.0,-0.004703514793828656,1.0,1.0311101661335058
2019-12-05,0.012185275230861338,0.0,0.0,0.0,0.012185275230861338,1.0,1.043751389278155
2019-12-06,-0.0013991523976322297,0.0,0.0,-0.0,-0.0013991523976322297,1.0,1.042292043181181
2019-12-09,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-10,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-11,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-12,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-13,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-16,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-17,0.0,0.0,0.0,0.0,0.0,1.0,1.042292043181181
2019-12-18,0.010671022766923586,0.0,0.0,0.0,0.010671022766923586,1.0,1.053473920228856
2019-12-19,0.007813146575440551,0.0,0.0,0.0,0.007813146575440551,1.0,1.0617371050825835
2019-12-20,0.0,0.0,0.0,0.0,0.0,1.0,1.0617371050825835
2019-12-23,0.0009189379180818255,0.0,0.0,0.0,0.0009189379180818255,1.0,1.0627132239951287
2019-12-24,0.00045460745429923017,0.0,0.0,0.0,0.00045460745429923017,1.0,1.063196451179557
2019-12-27,-0.01520454276897617,0.0,0.0,-0.0,-0.01520454276897617,1.0,1.0471533086565314
2019-12-30,-0.004653171945769074,0.0,0.0,-0.0,-0.004653171945769074,1.0,1.0422920431811808
2019-12-31,0.006045833491304323,0.0,0.0,0.0,0.006045833491304323,1.0,1.0486126547535053
2020-01-02,-0.0009266879868698811,0.0,0.0,-0.0,-0.0009266879868698811,1.0,1.047641368112804
2020-01-03,-0.003719993106802221,0.0,0.0,-0.0,-0.003719993106802221,1.0,1.043751389278155
2020-01-06,0.006037405830034374,0.0,0.0,0.0,0.006037405830034374,1.0,1.0500720008504796
2020-01-07,0.004156024286929966,0.0,0.0,0.0,0.004156024286929966,1.0,1.0544452068695573
2020-01-08,0.005976359152238349,0.0,0.0,0.0,0.005976359152238349,1.0,1.0607658184418818
2020-01-09,-0.0032121944896945226,0.0,0.0,-0.0,-0.0032121944896945226,1.0,1.0573638990635055
2020-01-10,0.003672189715677165,0.0,0.0,0.0,0.003672189715677165,1.0,1.0612538778981546
2020-01-13,0.0032004391549368713,0.0,0.0,0.0,0.0032004391549368713,1.0,1.0646557972765314
2020-01-14,-0.0004585250555317676,0.0,0.0,-0.0,-0.0004585250555317676,1.0,1.0641677378202585
2020-01-15,0.005921918834327794,0.0,0.0,0.0,0.005921918834327794,1.0,1.0704883493925832
2020-01-16,0.004530886183108854,0.0,0.0,0.0,0.004530886183108854,1.0,1.0753496148679338
2020-01-17,0.008555206526619936,0.0,0.0,0.0,0.008555206526619936,1.0,1.0845889186342066
2020-01-20,-0.01036329754966608,0.0,0.0,-0.0,-0.01036329754966608,1.0,1.0734070415865313
2020-01-21,0.0045185940803940915,0.0,0.0,0.0,0.0045185940803940915,1.0,1.078268307061882
2020-01-22,-0.0009011897659076757,0.0,0.0,-0.0,-0.0009011897659076757,1.0,1.0772970204211807
2020-01-23,-0.0054332804327387515,0.0,0.0,-0.0,-0.0054332804327387515,1.0,1.0714596360332844
2020-01-24,-0.010946813286146637,0.0,0.0,-0.0,-0.010946813286146637,1.0,1.0597945318011808
2020-01-27,0.005946282920627062,0.0,0.0,0.0,0.005946282920627062,1.0,1.0661151433735054
2020-01-28,0.0018204465573184053,0.0,0.0,0.0,0.0018204465573184053,1.0,1.068057716654908
2020-01-29,-0.0031902290124050546,0.0,0.0,-0.0,-0.0031902290124050546,1.0,1.0646557972765314
2020-01-30,-0.011480763084309663,0.0,0.0,-0.0,-0.011480763084309663,1.0,1.052502633588155
2020-01-31,0.010568045597807931,0.0,0.0,0.0,0.010568045597807931,1.0,1.0636845106358301
2020-02-03,0.012263167330152255,0.0,0.0,0.0,0.012263167330152255,1.0,1.0768089609649079
2020-02-04,0.00943759279923207,0.0,0.0,0.0,0.00943759279923207,1.0,1.0870195513718819
2020-02-05,0.0035721851588829154,0.0,0.0,0.0,0.0035721851588829154,1.0,1.0909095302065313
2020-02-06,-0.006711136299766168,0.0,0.0,-0.0,-0.006711136299766168,1.0,1.083612799721661
2020-02-07,0.004924420034179724,0.0,0.0,0.0,0.004924420034179724,1.0,1.0889621246532843
2020-02-10,0.0035658241717053747,0.0,0.0,0.0,0.0035658241717053747,1.0,1.0928521034879337
2020-02-11,0.003553154235070976,0.0,0.0,0.0,0.003553154235070976,1.0,1.096742082322583
2020-02-12,-0.002664785835265096,0.0,0.0,-0.0,-0.002664785835265096,1.0,1.093823390128635
2020-02-13,-0.0013350605633633825,0.0,0.0,-0.0,-0.0013350605633633825,1.0,1.0923640440316609
2020-02-14,-0.0008895557455093411,0.0,0.0,-0.0,-0.0008895557455093411,1.0,1.0913927573909596
2020-02-18,0.0031121962106896743,0.0,0.0,0.0,0.0031121962106896743,1.0,1.0947946767693362
2020-02-19,-0.0022226404651802716,0.0,0.0,-0.0,-0.0022226404651802716,1.0,1.0923640440316609
2020-02-20,-0.00894029505172318,0.0,0.0,-0.0,-0.00894029505172318,1.0,1.0826415130809597
2020-02-21,-0.025926390109797744,0.0,0.0,-0.0,-0.025926390109797744,1.0,1.0549332663258304
2020-02-24,-0.02567140210773903,0.0,0.0,-0.0,-0.02567140210773903,1.0,1.0281963062114021
2020-02-25,-0.0014203345346758733,0.0,0.0,-0.0,-0.0014203345346758733,1.0,1.026736960114428
2020-02-26,-0.014788182191707447,0.0,0.0,-0.0,-0.014788182191707447,1.0,1.0116651042321037
2020-02-27,-0.030244138006787897,0.0,0.0,-0.0,-0.030244138006787897,1.0,0.9815262247392988
2020-02-28,0.021556169442087533,0.0,0.0,0.0,0.021556169442087533,1.0,1.0029138599221037
2020-03-02,-0.006807187341795256,0.0,0.0,-0.0,-0.006807187341795256,1.0,0.9961100211653506
2020-03-03,0.02886098334360874,0.0,0.0,0.0,0.02886098334360874,1.0,1.0252776140174542
2020-03-04,-0.028375986704828535,0.0,0.0,-0.0,-0.028375986704828535,1.0,0.996593248349779
2020-03-05,-0.01276065907659816,0.0,0.0,-0.0,-0.01276065907659816,1.0,0.9839568574769743
2020-03-06,-0.06955710103386245,0.0,0.0,-0.0,-0.06955710103386245,1.0,0.9178417141034685
2020-03-09,0.037423998741148726,0.0,0.0,0.0,0.037423998741148726,1.0,0.9528418590716238
2020-03-10,-0.047004333820386233,0.0,0.0,-0.0,-0.047004333820386233,1.0,0.9090904697934684
2020-03-11,-0.09648825706872705,0.0,0.0,-0.0,-0.09648825706872705,1.0,0.825472837799963
2020-03-12,0.027876510344769595,0.0,0.0,0.0,0.027876510344769595,1.0,0.8488078785360147
2020-03-13,-0.0589771416009008,0.0,0.0,-0.0,-0.0589771416009008,1.0,0.800195223782509
2020-03-16,0.04745669903774038,0.0,0.0,0.0,0.04745669903774038,1.0,0.8390853475853136
2020-03-17,-0.05538689701754625,0.0,0.0,-0.0,-0.05538689701754625,1.0,0.7938746122101843
2020-03-18,0.017599831642462226,0.0,0.0,0.0,0.017599831642462226,1.0,0.8079703491799634
2020-03-19,-0.023742124571777882,0.0,0.0,-0.0,-0.023742124571777882,1.0,0.7890133467348337
2020-03-20,-0.023692225099763372,0.0,0.0,-0.0,-0.023692225099763372,1.0,0.7705395714741327
2020-03-23,0.07649314041733053,0.0,0.0,0.0,0.07649314041733053,1.0,0.8317934493722876
2020-03-24,0.03333632503051708,0.0,0.0,0.0,0.03333632503051708,1.0,0.85998975558369
2020-03-25,0.017373819918129366,0.0,0.0,0.0,0.017373819918129366,1.0,0.8750616114660144
2020-03-26,-0.0396694379571861,0.0,0.0,-0.0,-0.0396694379571861,1.0,0.841027920866716
2020-03-27,0.03465376040282592,0.0,0.0,0.0,0.03465376040282592,1.0,0.8706835731750924
2020-03-30,-0.007845056588099596,0.0,0.0,-0.0,-0.007845056588099596,1.0,0.8638797344183393
2020-03-31,-0.03551673018433108,0.0,0.0,-0.0,-0.03551673018433108,1.0,0.8337360226536903
2020-04-01,0.019059677398615825,0.0,0.0,0.0,0.019059677398615825,1.0,0.8497791651767161
2020-04-02,-0.020811580575480434,0.0,0.0,-0.0,-0.020811580575480434,1.0,0.8322766765567163
2020-04-03,0.05952803624267837,0.0,0.0,0.0,0.05952803624267837,1.0,0.8833247963197417
2020-04-06,-0.0038587019294682966,0.0,0.0,-0.0,-0.0038587019294682966,1.0,0.8799228769413652
2020-04-07,0.027248609062565276,0.0,0.0,0.0,0.027248609062565276,1.0,0.904229204318118
2020-04-08,0.012290360781676423,0.0,0.0,0.0,0.012290360781676423,1.0,0.9154110813657932
2020-04-09,-0.015523404851201624,0.0,0.0,-0.0,-0.015523404851201624,1.0,0.90131051212417
2020-04-13,0.024509654968090416,0.0,0.0,0.0,0.024509654968090416,1.0,0.9236742662195203
2020-04-14,-0.015914867802918786,0.0,0.0,-0.0,-0.015914867802918786,1.0,0.9090904697934686
2020-04-15,0.0037351288377580516,0.0,0.0,0.0,0.0037351288377580516,1.0,0.9124923891718452
2020-04-16,0.022650657363322134,0.0,0.0,0.0,0.022650657363322134,1.0,0.9333967971702216
2020-04-17,-0.0041762595295604275,0.0,0.0,-0.0,-0.0041762595295604275,1.0,0.9295068183355722
2020-04-20,-0.023816097998786517,0.0,0.0,-0.0,-0.023816097998786517,1.0,0.9076311236964947
2020-04-21,0.020676328949323954,0.0,0.0,0.0,0.020676328949323954,1.0,0.9265929584134687
