model,MAE,RMSE,R2,ACC,F1,AUC
ridge_reg,0.00710257709726056,0.010560225111794573,-0.02273374684576357,,,
hgb_reg,0.007811515127450438,0.011435415499545996,-0.19927873310519884,,,
logit_cls,,,,0.496045197740113,0.5095307917888563,0.5015296740771386
