model,MAE,RMSE,R2,ACC,F1,AUC
ridge_reg,0.006233947284435173,0.008538702373583548,-0.08304862209624342,,,
hgb_reg,0.007001542162367836,0.009676109137431565,-0.39080331931262124,,,
logit_cls,,,,0.47580645161290325,0.4672131147540984,0.4834284428466395
