symbol,model,CAGR,Vol,Sharpe,MaxDD,BH_CAGR,BH_Sharpe,BH_MaxDD
QQQ,ridge_base,0.08789756150152546,0.13944860738197798,0.6303222610230609,-0.2609395753841448,0.048792056980106385,0.15993057409278108,-0.9127826086956521
QQQ,hgb_base,0.045310769679113114,0.13138410937788406,0.344872526012954,-0.45875720323065583,0.048792056980106385,0.15993057409278108,-0.9127826086956521
QQQ,logit_base,0.02664166870834824,0.06643504695691632,0.4010182867128187,-0.150270443060249,0.048792056980106385,0.15993057409278108,-0.9127826086956521
QQQ,ridge_tuned,0.05870764118977825,0.13521174504413824,0.4341903964823015,-0.27385531347838254,0.048792056980106385,0.15993057409278108,-0.9127826086956521
QQQ,hgb_tuned,0.05651499398731161,0.12388185927594188,0.4562007247681577,-0.3077630410433437,0.048792056980106385,0.15993057409278108,-0.9127826086956521
QQQ,logit_tuned,0.02010343971356817,0.10535089461098403,0.1908236260147729,-0.25882445243436325,0.048792056980106385,0.15993057409278108,-0.9127826086956521
VFV.TO,ridge_base,0.06015351026121747,0.13221906885331589,0.45495336476731585,-0.2802155856368957,0.14837757694159304,0.9339906570857602,-0.27717800652774294
VFV.TO,hgb_base,0.023137777751250848,0.12473878554894317,0.18548984303019678,-0.2692074183378694,0.14837757694159304,0.9339906570857602,-0.27717800652774294
VFV.TO,logit_base,0.03427367183292029,0.09629841819694394,0.3559110572597959,-0.13413533834586475,0.14837757694159304,0.9339906570857602,-0.27717800652774294
VFV.TO,ridge_tuned,0.0579495547057,0.13774667448664252,0.4206965788587473,-0.2841889335664539,0.14837757694159304,0.9339906570857602,-0.27717800652774294
VFV.TO,hgb_tuned,0.06821064788183383,0.13367198593690865,0.5102837921030687,-0.23264129940454603,0.14837757694159304,0.9339906570857602,-0.27717800652774294
VFV.TO,logit_tuned,0.01968997349428563,0.12085647862889619,0.1629202978414254,-0.32536704974445957,0.14837757694159304,0.9339906570857602,-0.27717800652774294
XEQT.TO,ridge_base,-0.013660393445166846,0.08593051574627143,-0.15897022526318977,-0.26428873456664376,0.10664458729626979,0.6682641024848112,-0.2974286444426822
XEQT.TO,hgb_base,0.014694166337968481,0.08542925632568302,0.1720039125934765,-0.1488073976610425,0.10664458729626979,0.6682641024848112,-0.2974286444426822
XEQT.TO,logit_base,0.011140934182850063,0.048075286795007936,0.23173931817307267,-0.16796172192216227,0.10664458729626979,0.6682641024848112,-0.2974286444426822
XEQT.TO,ridge_tuned,-0.007742146169665788,0.08776549583264204,-0.08821400820692797,-0.29329064708068436,0.10664458729626979,0.6682641024848112,-0.2974286444426822
XEQT.TO,hgb_tuned,0.07102054615035967,0.10238488491160569,0.6936624113185798,-0.1466919886933676,0.10664458729626979,0.6682641024848112,-0.2974286444426822
XEQT.TO,logit_tuned,-0.009805713296361603,0.058762809742464464,-0.1668693743429968,-0.23981316781529516,0.10664458729626979,0.6682641024848112,-0.2974286444426822
