symbol,algo,ridge__alpha,mean_test_rmse,mean_test_mae,mean_test_r2,hgb__learning_rate,hgb__max_depth,hgb__max_leaf_nodes,hgb__min_samples_leaf,logit__C,logit__max_iter,logit__penalty,logit__solver,mean_test_auc,mean_test_f1,mean_test_acc
QQQ,ridge_reg,100.0,-0.013339272690448411,-0.0094136048898675,-0.0018209015612923097,,,,,,,,,,,
QQQ,hgb_reg,,-0.013415190804955795,-0.009546265014580318,-0.017068941859445186,0.03,3.0,15.0,50.0,,,,,,,
QQQ,logit_cls,,,,,,,,,0.1,200.0,l2,lbfgs,0.503106963327982,0.6253679536102447,0.5356215213358071
VFV.TO,ridge_reg,100.0,-0.010277479707670966,-0.007050440731729968,-0.025148951520560892,,,,,,,,,,,
VFV.TO,hgb_reg,,-0.010330984915835595,-0.007083165469826788,-0.03492875218743974,0.03,3.0,15.0,50.0,,,,,,,
VFV.TO,logit_cls,,,,,,,,,5.0,200.0,l2,lbfgs,0.5098031961392461,0.6224084803945991,0.5306967984934086
XEQT.TO,ridge_reg,100.0,-0.008192029797399929,-0.006060871615397259,-0.04001000823752197,,,,,,,,,,,
XEQT.TO,hgb_reg,,-0.008368740439512407,-0.006134891643011466,-0.09239441498172749,0.03,3.0,15.0,20.0,,,,,,,
XEQT.TO,logit_cls,,,,,,,,,0.1,200.0,l2,lbfgs,0.5063409890896047,0.5104077823573148,0.4879032258064516
