date,y_reg,pos,costs,r_strategy,r_bh,eq_strat,eq_bh
2012-12-20,-0.002366865010266168,0.0,0.0,-0.0,-0.002366865010266168,1.0,0.9976359338061466
2012-12-21,-0.010720769745101659,0.0,0.0,-0.0,-0.010720769745101659,1.0,0.9869976359338061
2012-12-24,-0.010836951329877368,0.0,0.0,-0.0,-0.010836951329877368,1.0,0.9763593380614657
2012-12-27,0.0,0.0,0.0,0.0,0.0,1.0,0.9763593380614657
2012-12-28,0.012033839563723463,0.0,0.0,0.0,0.012033839563723463,1.0,0.9881796690307327
2012-12-31,0.011890746521521773,0.0,0.0,0.0,0.011890746521521773,1.0,1.0
2013-01-02,0.0055009961903476476,0.0,0.0,0.0,0.0055009961903476476,1.0,1.0055161544523248
2013-01-03,0.002348337674107429,0.0,0.0,0.0,0.002348337674107429,1.0,1.007880220646178
2013-01-04,-0.0015649455463033672,0.0,0.0,-0.0,-0.0015649455463033672,1.0,1.0063041765169427
2013-01-07,-0.0035301076078614524,0.0,0.0,-0.0,-0.0035301076078614524,1.0,1.0027580772261624
2013-01-08,0.004312886512802297,0.0,0.0,0.0,0.004312886512802297,1.0,1.0070921985815604
2013-01-09,0.0046838493124264375,0.0,0.0,0.0,0.0046838493124264375,1.0,1.0118203309692673
2013-01-10,0.0007785130794136617,0.0,0.0,0.0,0.0007785130794136617,1.0,1.0126083530338852
2013-01-11,-0.0023373598487048154,0.0,0.0,-0.0,-0.0023373598487048154,1.0,1.0102442868400316
2013-01-14,0.002337359848704772,0.0,0.0,0.0,0.002337359848704772,1.0,1.0126083530338852
2013-01-15,0.0019436352085710307,0.0,0.0,0.0,0.0019436352085710307,1.0,1.0145784081954297
2013-01-16,0.006194367464273511,0.0,0.0,0.0,0.006194367464273511,1.0,1.0208825847123721
2013-01-17,0.008837713622057338,0.0,0.0,0.0,0.008837713622057338,1.0,1.029944838455477
2013-01-18,0.0087602921691195,0.0,0.0,0.0,0.0087602921691195,1.0,1.039007092198582
2013-01-21,-0.005323206486413047,0.0,0.0,-0.0,-0.005323206486413047,1.0,1.033490937746257
2013-01-22,0.009863509405195993,0.0,0.0,0.0,0.009863509405195993,1.0,1.0437352245862888
2013-01-23,0.0041439125036751645,0.0,0.0,0.0,0.0041439125036751645,1.0,1.0480693459416868
2013-01-24,0.008236662065879068,0.0,0.0,0.0,0.008236662065879068,1.0,1.0567375886524826
2013-01-25,-0.00037292560566458074,0.0,0.0,-0.0,-0.00037292560566458074,1.0,1.0563435776201737
2013-01-28,0.00037292560566465094,0.0,0.0,0.0,0.00037292560566465094,1.0,1.0567375886524828
2013-01-29,-0.004858914437099695,0.0,0.0,-0.0,-0.004858914437099695,1.0,1.0516154452324669
2013-01-30,-0.005259215728484909,0.0,0.0,-0.0,-0.005259215728484909,1.0,1.0460992907801423
2013-01-31,0.008998935868569535,0.0,0.0,0.0,0.008998935868569535,1.0,1.055555555555556
2013-02-01,-0.010883950564340831,0.0,0.0,-0.0,-0.010883950564340831,1.0,1.0441292356185978
2013-02-04,0.008641797158651128,0.0,0.0,0.0,0.008641797158651128,1.0,1.0531914893617027
2013-02-05,-0.000748503028958129,0.0,0.0,-0.0,-0.000748503028958129,1.0,1.0524034672970848
2013-02-06,0.0007485030289581124,0.0,0.0,0.0,0.0007485030289581124,1.0,1.0531914893617027
2013-02-07,0.010050335853501506,0.0,0.0,0.0,0.010050335853501506,1.0,1.0638297872340432
2013-02-08,0.0018501392881613734,0.0,0.0,0.0,0.0018501392881613734,1.0,1.0657998423955874
2013-02-11,0.0,0.0,0.0,0.0,0.0,1.0,1.0657998423955874
2013-02-12,-0.0011096727604377884,0.0,0.0,-0.0,-0.0011096727604377884,1.0,1.0646178092986607
2013-02-13,0.0022181155120213586,0.0,0.0,0.0,0.0022181155120213586,1.0,1.0669818754925142
2013-02-14,0.0033179753941821937,0.0,0.0,0.0,0.0033179753941821937,1.0,1.0705279747832943
