date,y,proba_cv
2020-11-23,1,0.5411890032830331
2020-11-24,0,0.49531868911444515
2020-11-25,1,0.5675721700385737
2020-11-26,1,0.4859170105457429
2020-11-27,0,0.5383781841183507
2020-11-30,1,0.6458996079038889
2020-12-01,1,0.5030882255568401
2020-12-02,0,0.5381904507456489
2020-12-03,1,0.5310875452151026
2020-12-04,0,0.5167429827182314
2020-12-07,1,0.49965639436711357
2020-12-08,0,0.5062210068151107
2020-12-09,0,0.5545371111589936
2020-12-10,0,0.5473601889456051
2020-12-11,0,0.5437710654660559
2020-12-14,1,0.5170642917223814
2020-12-15,1,0.4848385309377327
2020-12-16,1,0.4792732800098721
2020-12-17,1,0.4724425714653388
2020-12-18,0,0.4795354800633527
2020-12-21,1,0.5095434503659436
2020-12-22,1,0.4866872719345229
2020-12-23,0,0.5062680571799315
2020-12-24,1,0.5089796367153352
2020-12-29,0,0.46545065992979323
2020-12-30,0,0.4661086550842646
2020-12-31,0,0.458085073429025
2021-01-04,1,0.43565069542732193
2021-01-05,1,0.4480783579264891
2021-01-06,1,0.42615190696955124
2021-01-07,1,0.3724436401715128
2021-01-08,0,0.4326430710317645
2021-01-11,0,0.45902407277367563
2021-01-12,0,0.46547629639423005
2021-01-13,0,0.4885246129123944
2021-01-14,0,0.47182508216312047
2021-01-15,1,0.48603520936723393
2021-01-18,0,0.4093041184694526
2021-01-19,1,0.47123399213873424
2021-01-20,0,0.4260689213755146
2021-01-21,1,0.524494728077916
2021-01-22,1,0.48586381547646534
2021-01-25,0,0.4568956882085686
2021-01-26,0,0.5327112896110042
2021-01-27,1,0.567809546986073
2021-01-28,0,0.4165168216462551
2021-01-29,1,0.5648639291633122
2021-02-01,1,0.3710677067965257
2021-02-02,1,0.4600512820867218
2021-02-03,1,0.4946367490576316
2021-02-04,1,0.43526331023852044
2021-02-05,1,0.48406163274921576
2021-02-08,1,0.4790771663939527
2021-02-09,1,0.5002680891143447
2021-02-10,1,0.48070226351696443
2021-02-11,1,0.497779596910064
2021-02-12,1,0.44952675746803256
2021-02-16,0,0.5096664912455872
2021-02-17,0,0.5495529161315286
2021-02-18,0,0.5662655159430664
2021-02-19,0,0.5521936694788364
2021-02-22,0,0.5693373689300971
2021-02-23,1,0.5524527005896579
2021-02-24,0,0.5200271997023753
2021-02-25,1,0.5973395568000656
2021-02-26,1,0.44244623883207496
2021-03-01,0,0.4494586999628754
2021-03-02,0,0.5074527451585084
2021-03-03,0,0.5079154676329898
2021-03-04,1,0.49201745510325895
2021-03-05,0,0.35797664838755816
2021-03-08,1,0.44801254625987097
2021-03-09,1,0.392299840206252
2021-03-10,1,0.4388425742254484
2021-03-11,0,0.3801640620949138
2021-03-12,1,0.46103712942885655
2021-03-15,0,0.4438314354786311
2021-03-16,1,0.49578364357281735
2021-03-17,0,0.44999267699774315
2021-03-18,1,0.4717057547372006
2021-03-19,1,0.45632239034706484
2021-03-22,0,0.4597588913640626
2021-03-23,0,0.5315152871975544
2021-03-24,1,0.518381093612739
2021-03-25,1,0.4553049871902141
2021-03-26,0,0.41965308572177173
2021-03-29,1,0.5231976089929239
2021-03-30,0,0.45567249307849195
2021-03-31,1,0.4828214038356726
2021-04-01,1,0.38095792751960816
2021-04-05,1,0.39463733025195447
2021-04-06,1,0.46651284104756124
2021-04-07,1,0.43802976149122697
2021-04-08,1,0.41310343219273427
2021-04-09,0,0.43235697604585316
2021-04-12,1,0.472711627385811
2021-04-13,0,0.4502913848837945
2021-04-14,1,0.4531193736884056
2021-04-15,1,0.40142727906406667
2021-04-16,0,0.4712279600931538
2021-04-19,0,0.5071524812407373
2021-04-20,1,0.4925219956588552
2021-04-21,0,0.4849039207935771
2021-04-22,1,0.5270899309481503
2021-04-23,0,0.457156786459824
2021-04-26,0,0.4700484676690386
2021-04-27,0,0.4830515003476666
2021-04-28,0,0.4704735983669673
2021-04-29,0,0.4790885096300311
2021-04-30,1,0.49544523810942503
2021-05-03,0,0.4242878915136102
2021-05-04,1,0.4619294489515574
2021-05-05,0,0.4439624059931016
2021-05-06,1,0.43647654702566546
2021-05-07,0,0.41818718134694205
2021-05-10,0,0.5032373985686732
2021-05-11,0,0.4595118325409327
2021-05-12,1,0.49251266742018684
2021-05-13,1,0.3618672556886993
2021-05-14,0,0.3685360013914976
2021-05-17,0,0.45903735997614925
2021-05-18,0,0.43121643518418307
2021-05-19,1,0.3988513577669627
2021-05-20,0,0.3890194857872844
2021-05-21,1,0.4622366306557871
2021-05-25,1,0.40395993264883134
2021-05-26,0,0.3914031135912219
2021-05-27,1,0.41208547017320013
2021-05-28,0,0.41453565184508806
2021-05-31,1,0.4624214988222822
2021-06-01,0,0.4419175805845898
2021-06-02,1,0.4681058643568321
2021-06-03,1,0.4418632410617425
2021-06-04,1,0.44088943316637697
2021-06-07,1,0.4584615551885035
2021-06-08,0,0.46398342512249224
2021-06-09,1,0.4920337618666899
2021-06-10,1,0.45011036466921905
2021-06-11,1,0.4030946176104336
2021-06-14,1,0.42617638301086125
2021-06-15,0,0.4428082688315485
2021-06-16,1,0.43315505256903536
2021-06-17,0,0.43654879931207324
2021-06-18,1,0.4888341234627542
2021-06-21,1,0.4309268785671558
2021-06-22,0,0.4700359283950336
2021-06-23,1,0.469345722443269
2021-06-24,1,0.4654287795707415
2021-06-25,1,0.46209423676988615
2021-06-28,1,0.45152596697420816
2021-06-29,0,0.45298993833392887
2021-06-30,1,0.4623845862498946
2021-07-02,1,0.44888914643628086
2021-07-05,1,0.4063291236568088
2021-07-06,1,0.44620746232487624
2021-07-07,0,0.4486122208825029
2021-07-08,1,0.4696921268278991
2021-07-09,1,0.41942679254949045
2021-07-12,1,0.4512592668689976
2021-07-13,0,0.4571407820702091
2021-07-14,1,0.4771848791882892
2021-07-15,0,0.43771715983701837
2021-07-16,0,0.4836313037007123
2021-07-19,1,0.46301737973373763
2021-07-20,1,0.40174740654027924
2021-07-21,0,0.4512290495692441
2021-07-22,1,0.45559138852322373
2021-07-23,0,0.4365590838955485
2021-07-26,0,0.4676367771983298
2021-07-27,1,0.4745186234741974
2021-07-28,0,0.47030195303393996
2021-07-29,0,0.46966879697564223
2021-07-30,1,0.47526403900937053
2021-08-03,0,0.38237750801526127
2021-08-04,1,0.4735349783012685
2021-08-05,1,0.44785668223143865
2021-08-06,1,0.4372144516702967
2021-08-09,0,0.4624903084096589
2021-08-10,1,0.48722762254515967
2021-08-11,1,0.4530104516947726
2021-08-12,1,0.45259787273156776
2021-08-13,1,0.4711851752172112
2021-08-16,0,0.4320493145868801
2021-08-17,0,0.4587302207589739
2021-08-18,1,0.48452204246959346
2021-08-19,1,0.41240727237894304
2021-08-20,0,0.4333961790375695
