date,y_reg,pos,costs,r_strategy,r_bh,eq_strat,eq_bh
1999-12-14,0.018680493397889204,0.0,0.0,0.0,0.018680493397889204,1.0,1.0188560653676932
1999-12-15,0.024376587877618695,0.0,0.0,0.0,0.024376587877618695,1.0,1.0439974858579508
1999-12-16,0.00875147945958501,0.0,0.0,0.0,0.00875147945958501,1.0,1.053174104336895
1999-12-17,0.013279777798412917,0.0,0.0,0.0,0.013279777798412917,1.0,1.0672532998114395
1999-12-20,0.05220571663742647,0.0,0.0,0.0,0.05220571663742647,1.0,1.1244500314267756
1999-12-21,-0.00335946564557869,0.0,0.0,-0.0,-0.00335946564557869,1.0,1.120678818353237
1999-12-22,0.01170908275942859,0.0,0.0,0.0,0.01170908275942859,1.0,1.1338780641106223
1999-12-23,-0.005558658003827493,0.0,0.0,-0.0,-0.005558658003827493,1.0,1.127592708988058
1999-12-27,-0.006150424755600978,0.0,0.0,-0.0,-0.006150424755600978,1.0,1.1206788183532372
1999-12-28,0.03688830020923006,0.0,0.0,0.0,0.03688830020923006,1.0,1.162790697674419
1999-12-29,-0.010869672236903879,0.0,0.0,-0.0,-0.010869672236903879,1.0,1.15021998742929
1999-12-30,-0.0010934938213712185,0.0,0.0,-0.0,-0.0010934938213712185,1.0,1.1489629164047772
1999-12-31,0.0359963655024313,0.0,0.0,0.0,0.0359963655024313,1.0,1.1910747957259586
2000-01-03,-0.07106814814912954,0.0,0.0,-0.0,-0.07106814814912954,1.0,1.1093651791326211
2000-01-04,0.0005664117965082575,0.0,0.0,0.0,0.0005664117965082575,1.0,1.1099937146448777
2000-01-05,-0.09746425353560079,0.0,0.0,-0.0,-0.09746425353560079,1.0,1.0069138906348212
2000-01-06,0.1165338162559516,0.0,0.0,0.0,0.1165338162559516,1.0,1.1313639220615967
2000-01-07,0.027398974188114347,0.0,0.0,0.0,0.027398974188114347,1.0,1.162790697674419
2000-01-10,-0.04533667487478175,0.0,0.0,-0.0,-0.04533667487478175,1.0,1.1112507856693905
2000-01-11,-0.026943446986049457,0.0,0.0,-0.0,-0.026943446986049457,1.0,1.0817096165933375
2000-01-12,0.05867446980505256,0.0,0.0,0.0,0.05867446980505256,1.0,1.1470773098680078
2000-01-13,0.023288352772196153,0.0,0.0,0.0,0.023288352772196153,1.0,1.174104336895035
2000-01-14,0.005339040979420328,0.0,0.0,0.0,0.005339040979420328,1.0,1.1803896920175994
2000-01-18,0.022117805253618974,0.0,0.0,0.0,0.022117805253618974,1.0,1.20678818353237
2000-01-19,-0.009945122533398063,0.0,0.0,-0.0,-0.009945122533398063,1.0,1.1948460087994976
2000-01-20,0.01254590423345541,0.0,0.0,0.0,0.01254590423345541,1.0,1.209930861093652
2000-01-21,-0.048971998882179506,0.0,0.0,-0.0,-0.048971998882179506,1.0,1.1521055939660596
2000-01-24,0.014622518867541963,0.0,0.0,0.0,0.014622518867541963,1.0,1.1690760527969835
2000-01-25,-0.04115807249350744,0.0,0.0,-0.0,-0.04115807249350744,1.0,1.1219358893777505
2000-01-26,0.01446076366967388,0.0,0.0,0.0,0.01446076366967388,1.0,1.138277812696418
2000-01-27,-0.051554888075914636,0.0,0.0,-0.0,-0.051554888075914636,1.0,1.0810810810810816
2000-01-28,0.04212347281124282,0.0,0.0,0.0,0.04212347281124282,1.0,1.1275927089880584
2000-01-31,0.02640417419651071,0.0,0.0,0.0,0.02640417419651071,1.0,1.1577624135763678
2000-02-01,0.008648702558531896,0.0,0.0,0.0,0.008648702558531896,1.0,1.1678189817724711
2000-02-02,0.038019362525147406,0.0,0.0,0.0,0.038019362525147406,1.0,1.213073538654935
2000-02-03,0.006713167478508831,0.0,0.0,0.0,0.006713167478508831,1.0,1.2212445003142687
2000-02-04,0.013800372354594052,0.0,0.0,0.0,0.013800372354594052,1.0,1.2382149591451925
2000-02-07,0.04126859528689949,0.0,0.0,0.0,0.04126859528689949,1.0,1.2903834066624775
2000-02-08,-0.03620529333035271,0.0,0.0,-0.0,-0.03620529333035271,1.0,1.244500314267757
2000-02-09,0.03230094478832125,0.0,0.0,0.0,0.03230094478832125,1.0,1.285355122564426
2000-02-10,-0.023251109268403274,0.0,0.0,-0.0,-0.023251109268403274,1.0,1.2558139534883732
2000-02-11,-0.0015026298845350185,0.0,0.0,-0.0,-0.0015026298845350185,1.0,1.2539283469516038
2000-02-14,0.006993035490970604,0.0,0.0,0.0,0.006993035490970604,1.0,1.262727844123194
2000-02-15,-0.004489905272852079,0.0,0.0,-0.0,-0.004489905272852079,1.0,1.257071024512886
2000-02-16,0.02127213527553977,0.0,0.0,0.0,0.02127213527553977,1.0,1.2840980515399132
2000-02-17,-0.03689351617849654,0.0,0.0,-0.0,-0.03689351617849654,1.0,1.2375864236329364
2000-02-18,0.0030425986960967303,0.0,0.0,0.0,0.0030425986960967303,1.0,1.241357636706475
2000-02-22,0.054200456897679654,0.0,0.0,0.0,0.054200456897679654,1.0,1.3104965430546838
2000-02-23,0.02135312447056906,0.0,0.0,0.0,0.02135312447056906,1.0,1.338780641106224
2000-02-24,-0.023273432309836417,0.0,0.0,-0.0,-0.023273432309836417,1.0,1.3079824010056582
2000-02-25,-0.00048065369827068546,0.0,0.0,-0.0,-0.00048065369827068546,1.0,1.3073538654934018
2000-02-28,0.026098752967361288,0.0,0.0,0.0,0.026098752967361288,1.0,1.3419233186675061
2000-02-29,0.008395571701638155,0.0,0.0,0.0,0.008395571701638155,1.0,1.3532369578881223
2000-03-01,-0.023497321661663243,0.0,0.0,-0.0,-0.023497321661663243,1.0,1.3218101822753001
2000-03-02,0.054592648191727676,0.0,0.0,0.0,0.054592648191727676,1.0,1.3959773727215603
2000-03-03,0.008071792704327495,0.0,0.0,0.0,0.008071792704327495,1.0,1.4072910119421764
2000-03-06,-0.015301828717808505,0.0,0.0,-0.0,-0.015301828717808505,1.0,1.3859208045254574
2000-03-07,0.009029406719394157,0.0,0.0,0.0,0.009029406719394157,1.0,1.3984915147705863
2000-03-08,0.03315220731690055,0.0,0.0,0.0,0.03315220731690055,1.0,1.4456316781898195
2000-03-09,-0.004357305368955701,0.0,0.0,-0.0,-0.004357305368955701,1.0,1.4393463230672552
2000-03-10,-0.02655023209412084,0.0,0.0,-0.0,-0.02655023209412084,1.0,1.4016341923318687
2000-03-13,-0.03746440882540911,0.0,0.0,-0.0,-0.03746440882540911,1.0,1.3500942803268403
