symbol,model,CAGR,Vol,Sharpe,MaxDD,BH_CAGR,BH_Sharpe,BH_MaxDD
QQQ,hgb_reg,0.06282137037867298,0.13135029113559277,0.47827355261681564,-0.36804877018338095,0.04778816223937062,0.1564984225494166,-0.9127826086956521
QQQ,logit_cls,0.02489086918753609,0.06643424985831527,0.3746692292096471,-0.16968137800266045,0.04778816223937062,0.1564984225494166,-0.9127826086956521
QQQ,ridge_reg,0.08320140714317495,0.1390111241478596,0.5985233746809897,-0.26491363145329955,0.04778816223937062,0.1564984225494166,-0.9127826086956521
VFV.TO,hgb_reg,0.016833528029487985,0.12646904345072485,0.13310394045991739,-0.2799994283152696,0.14724208586691362,0.9253842038558759,-0.27717800652774294
VFV.TO,logit_cls,0.028000320107244566,0.09924851786224238,0.282123307333508,-0.18809788750307552,0.14724208586691362,0.9253842038558759,-0.27717800652774294
VFV.TO,ridge_reg,0.051891314647932923,0.13308910723127176,0.38989903627319616,-0.2699352468854791,0.14724208586691362,0.9253842038558759,-0.27717800652774294
XEQT.TO,hgb_reg,0.018457772614354297,0.08561907228346691,0.21558015196946376,-0.15773346944170702,0.10344573500466143,0.6457980037324942,-0.2974286444426822
XEQT.TO,logit_cls,0.0124877241772971,0.04939508202662576,0.2528131073973267,-0.1595989767615138,0.10344573500466143,0.6457980037324942,-0.2974286444426822
XEQT.TO,ridge_reg,-0.007140436025672955,0.08822062848782176,-0.08093839443298279,-0.23889268634569316,0.10344573500466143,0.6457980037324942,-0.2974286444426822
