mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hgb__learning_rate,param_hgb__max_depth,param_hgb__max_leaf_nodes,param_hgb__min_samples_leaf,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.02054591178894043,0.0033121238220011136,0.0012262344360351562,1.063186479456207e-05,0.03,3,15,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 10}",-0.007517479794150497,-0.01105973721667899,-0.007901431960112358,-0.006567984347637667,-0.00984709799324722,-0.008578746262365346,0.001636596278068001,23,-0.005138065223610314,-0.008533525248452276,-0.006065787213185371,-0.005033536749022742,-0.006319581259953143,-0.006218099138844769,0.0012620900860154493,10,-0.36255670206910806,-0.2426988022018972,0.0024312502524699298,-0.10904022426526039,-0.010540206616441505,-0.14448093698004744,0.1399879584060194,26
0.019577217102050782,0.0026052789766850895,0.0012197494506835938,3.2456817091268183e-05,0.03,3,15,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 20}",-0.007183794538113179,-0.010478046418888774,-0.007923178942617052,-0.006446571536384873,-0.009809041657912012,-0.008368126618783178,0.0015375950415753693,1,-0.005141953620102135,-0.00832523112218269,-0.006082144666481907,-0.004962099245198419,-0.00624521610520067,-0.006151328951833164,0.0011977109638478796,1,-0.2442792270098162,-0.11541607655729402,-0.0030674908442536175,-0.06841676081340808,-0.002744378194160735,-0.08678478668378653,0.08947961751101986,1
0.02184586524963379,0.00486488428002171,0.0012583732604980469,1.7893151550009714e-05,0.03,3,15,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 50}",-0.007114042551394665,-0.010492644824042096,-0.008109871956105554,-0.006343486960108442,-0.009909594040776367,-0.008393928066485425,0.0015890222723660133,4,-0.005278850674297116,-0.008227409123175338,-0.006225956319210498,-0.004957199352204725,-0.006355963737805808,-0.006209075841338697,0.0011426323859120321,7,-0.22023355207772632,-0.1185263202795046,-0.050894746712084604,-0.03452069449679973,-0.023407993514554803,-0.08951666141613401,0.07323254803176588,4
0.02351994514465332,0.004215784065875357,0.0018884658813476563,0.0012818304380710565,0.03,3,31,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 10}",-0.007517479794150497,-0.01105973721667899,-0.007901431960112358,-0.006567984347637667,-0.00984709799324722,-0.008578746262365346,0.001636596278068001,23,-0.005138065223610314,-0.008533525248452276,-0.006065787213185371,-0.005033536749022742,-0.006319581259953143,-0.006218099138844769,0.0012620900860154493,10,-0.36255670206910806,-0.2426988022018972,0.0024312502524699298,-0.10904022426526039,-0.010540206616441505,-0.14448093698004744,0.1399879584060194,26
0.02114424705505371,0.0035380233300771977,0.0012217044830322265,2.6506913993034896e-05,0.03,3,31,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 20}",-0.007183794538113179,-0.010478046418888774,-0.007923178942617052,-0.006446571536384873,-0.009809041657912012,-0.008368126618783178,0.0015375950415753693,1,-0.005141953620102135,-0.00832523112218269,-0.006082144666481907,-0.004962099245198419,-0.00624521610520067,-0.006151328951833164,0.0011977109638478796,1,-0.2442792270098162,-0.11541607655729402,-0.0030674908442536175,-0.06841676081340808,-0.002744378194160735,-0.08678478668378653,0.08947961751101986,1
0.02246098518371582,0.004419173514083715,0.001227569580078125,1.1823638636626069e-05,0.03,3,31,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 50}",-0.007114042551394665,-0.010492644824042096,-0.008109871956105554,-0.006343486960108442,-0.009909594040776367,-0.008393928066485425,0.0015890222723660133,4,-0.005278850674297116,-0.008227409123175338,-0.006225956319210498,-0.004957199352204725,-0.006355963737805808,-0.006209075841338697,0.0011426323859120321,7,-0.22023355207772632,-0.1185263202795046,-0.050894746712084604,-0.03452069449679973,-0.023407993514554803,-0.08951666141613401,0.07323254803176588,4
0.025052356719970702,0.005171731566261452,0.001246166229248047,1.3272357790268071e-05,0.03,3,63,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 10}",-0.007517479794150497,-0.01105973721667899,-0.007901431960112358,-0.006567984347637667,-0.00984709799324722,-0.008578746262365346,0.001636596278068001,23,-0.005138065223610314,-0.008533525248452276,-0.006065787213185371,-0.005033536749022742,-0.006319581259953143,-0.006218099138844769,0.0012620900860154493,10,-0.36255670206910806,-0.2426988022018972,0.0024312502524699298,-0.10904022426526039,-0.010540206616441505,-0.14448093698004744,0.1399879584060194,26
0.020598936080932616,0.004210817509175458,0.001209402084350586,3.4594067531599834e-05,0.03,3,63,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 20}",-0.007183794538113179,-0.010478046418888774,-0.007923178942617052,-0.006446571536384873,-0.009809041657912012,-0.008368126618783178,0.0015375950415753693,1,-0.005141953620102135,-0.00832523112218269,-0.006082144666481907,-0.004962099245198419,-0.00624521610520067,-0.006151328951833164,0.0011977109638478796,1,-0.2442792270098162,-0.11541607655729402,-0.0030674908442536175,-0.06841676081340808,-0.002744378194160735,-0.08678478668378653,0.08947961751101986,1
0.022036123275756835,0.005577620680233934,0.0012459278106689454,2.7332961426651987e-05,0.03,3,63,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 50}",-0.007114042551394665,-0.010492644824042096,-0.008109871956105554,-0.006343486960108442,-0.009909594040776367,-0.008393928066485425,0.0015890222723660133,4,-0.005278850674297116,-0.008227409123175338,-0.006225956319210498,-0.004957199352204725,-0.006355963737805808,-0.006209075841338697,0.0011426323859120321,7,-0.22023355207772632,-0.1185263202795046,-0.050894746712084604,-0.03452069449679973,-0.023407993514554803,-0.08951666141613401,0.07323254803176588,4
0.03234429359436035,0.005169422155989839,0.0014654159545898437,2.452334146482349e-05,0.03,5,15,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 5, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 10}",-0.00790032026314922,-0.011439157275279846,-0.007879789612652507,-0.00676577303600313,-0.00994354128396388,-0.008785716294209716,0.0016772660968058003,46,-0.005415832862914868,-0.008778748856703038,-0.006039354757749037,-0.00509596464398622,-0.0064293723669757875,-0.00635185469766579,0.0012997597595505175,33,-0.5048715765998883,-0.32942648228478455,0.007888529901770802,-0.17684137718058102,-0.030431770155412208,-0.20673653526377905,0.19077648452917517,46
