model,MAE,RMSE,R2,ACC,F1,AUC
ridge_reg,0.009433115601614537,0.013607946241503344,-0.0018404916249235015,,,
hgb_reg,0.010798207116704291,0.015412364276032299,-0.28514443851923477,,,
logit_cls,,,,0.5196660482374769,0.5905424640202436,0.5030872946854055
