mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hgb__learning_rate,param_hgb__max_depth,param_hgb__max_leaf_nodes,param_hgb__min_samples_leaf,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0.08897018432617188,0.010095752465627652,0.0036858558654785157,0.0008857851675464569,0.03,3,15,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 10}",-0.008441012310262744,-0.00890430385302034,-0.014990925284837524,-0.010184509604248094,-0.00997760825930742,-0.010499671862335224,0.0023377986738020093,28,-0.006529328210421643,-0.0061286060182007,-0.008773767246303993,-0.0077607385067289475,-0.006517101021780018,-0.00714190820068706,0.0009837006110353576,13,-0.06024595639086372,-0.07347554257299493,-0.03797479916665858,-0.06494129468401222,-0.10506248914663319,-0.06834001639223253,0.021790021422949425,25
0.07920265197753906,0.006057434495125747,0.003588581085205078,0.0004713611066727512,0.03,3,15,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 20}",-0.008342609577458651,-0.008853764126279084,-0.014969289203968067,-0.010016141396677884,-0.009684864714586218,-0.010373333803793981,0.002373070375321105,7,-0.00642647059642284,-0.006124096073200783,-0.008760442924480324,-0.00775037868975634,-0.006416237742216217,-0.0070955252052153,0.0010053381703286543,4,-0.03567000133718001,-0.06132429653168958,-0.0349807878023598,-0.030021564635391185,-0.041168587954981684,-0.04063304765232045,0.010932502234713272,4
0.07347431182861328,0.005156388788708125,0.003805685043334961,0.0014823161748240595,0.03,3,15,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 50}",-0.008329334105807138,-0.008828086300597667,-0.014733124921102774,-0.010051359128037741,-0.009713020123632645,-0.010330984915835595,0.002284916536968009,1,-0.006422743250583742,-0.006124237254371427,-0.008643844313651053,-0.007780792719427773,-0.006444209811099946,-0.007083165469826788,0.0009681288547328651,1,-0.032376531034192135,-0.05517708483163952,-0.002581467799210646,-0.03727761156612219,-0.04723106570603419,-0.03492875218743974,0.017998442561893164,1
0.09701285362243653,0.017320824264751473,0.0039234161376953125,0.001599901695636037,0.03,3,31,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 10}",-0.008441012310262744,-0.00890430385302034,-0.014990925284837524,-0.010184509604248094,-0.00997760825930742,-0.010499671862335224,0.0023377986738020093,28,-0.006529328210421643,-0.0061286060182007,-0.008773767246303993,-0.0077607385067289475,-0.006517101021780018,-0.00714190820068706,0.0009837006110353576,13,-0.06024595639086372,-0.07347554257299493,-0.03797479916665858,-0.06494129468401222,-0.10506248914663319,-0.06834001639223253,0.021790021422949425,25
0.08882536888122558,0.007392162960778494,0.0045124530792236325,0.0034505749162464547,0.03,3,31,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 20}",-0.008342609577458651,-0.008853764126279084,-0.014969289203968067,-0.010016141396677884,-0.009684864714586218,-0.010373333803793981,0.002373070375321105,7,-0.00642647059642284,-0.006124096073200783,-0.008760442924480324,-0.00775037868975634,-0.006416237742216217,-0.0070955252052153,0.0010053381703286543,4,-0.03567000133718001,-0.06132429653168958,-0.0349807878023598,-0.030021564635391185,-0.041168587954981684,-0.04063304765232045,0.010932502234713272,4
0.09127221107482911,0.011391013240793543,0.004229593276977539,0.0006283609361240862,0.03,3,31,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 31, 'hgb__min_samples_leaf': 50}",-0.008329334105807138,-0.008828086300597667,-0.014733124921102774,-0.010051359128037741,-0.009713020123632645,-0.010330984915835595,0.002284916536968009,1,-0.006422743250583742,-0.006124237254371427,-0.008643844313651053,-0.007780792719427773,-0.006444209811099946,-0.007083165469826788,0.0009681288547328651,1,-0.032376531034192135,-0.05517708483163952,-0.002581467799210646,-0.03727761156612219,-0.04723106570603419,-0.03492875218743974,0.017998442561893164,1
0.08332505226135253,0.007716856741831486,0.004890584945678711,0.0016153188828758845,0.03,3,63,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 10}",-0.008441012310262744,-0.00890430385302034,-0.014990925284837524,-0.010184509604248094,-0.00997760825930742,-0.010499671862335224,0.0023377986738020093,28,-0.006529328210421643,-0.0061286060182007,-0.008773767246303993,-0.0077607385067289475,-0.006517101021780018,-0.00714190820068706,0.0009837006110353576,13,-0.06024595639086372,-0.07347554257299493,-0.03797479916665858,-0.06494129468401222,-0.10506248914663319,-0.06834001639223253,0.021790021422949425,25
0.08541078567504883,0.010062989342816506,0.005041885375976563,0.002516161281245122,0.03,3,63,20,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 20}",-0.008342609577458651,-0.008853764126279084,-0.014969289203968067,-0.010016141396677884,-0.009684864714586218,-0.010373333803793981,0.002373070375321105,7,-0.00642647059642284,-0.006124096073200783,-0.008760442924480324,-0.00775037868975634,-0.006416237742216217,-0.0070955252052153,0.0010053381703286543,4,-0.03567000133718001,-0.06132429653168958,-0.0349807878023598,-0.030021564635391185,-0.041168587954981684,-0.04063304765232045,0.010932502234713272,4
0.08391819000244141,0.010048291967722372,0.0040895938873291016,0.002592968716142566,0.03,3,63,50,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 3, 'hgb__max_leaf_nodes': 63, 'hgb__min_samples_leaf': 50}",-0.008329334105807138,-0.008828086300597667,-0.014733124921102774,-0.010051359128037741,-0.009713020123632645,-0.010330984915835595,0.002284916536968009,1,-0.006422743250583742,-0.006124237254371427,-0.008643844313651053,-0.007780792719427773,-0.006444209811099946,-0.007083165469826788,0.0009681288547328651,1,-0.032376531034192135,-0.05517708483163952,-0.002581467799210646,-0.03727761156612219,-0.04723106570603419,-0.03492875218743974,0.017998442561893164,1
0.16738286018371581,0.03608538670625117,0.0047489643096923825,0.0013153682317092986,0.03,5,15,10,"{'hgb__learning_rate': 0.03, 'hgb__max_depth': 5, 'hgb__max_leaf_nodes': 15, 'hgb__min_samples_leaf': 10}",-0.008601372233763433,-0.009109559728424045,-0.014930066451752749,-0.010236127080731995,-0.010067942127147872,-0.010589013524364019,0.002253010705518634,45,-0.00664030455419844,-0.0062756515576237355,-0.008733987472795473,-0.007799479732975296,-0.006560910154640478,-0.007202066694446685,0.0009261303392317936,27,-0.10091310833828171,-0.12353598437633528,-0.02956414965807852,-0.07576339289505207,-0.1251627887519431,-0.09098788480393813,0.03558222393552483,47
